Car Name,Price
توصيل مشاويرخصوصي وطلبة,EGP 100
فررصه GLA200 AMG 2020 أعلي فئه بانوراما ضمان الوكيل زيرو,"EGP 1,700,000"
قطع غيار انفنتي FX35,EGP 500
مراية بانوراما واوكرة خارجية وعلبة مناديل,EGP 200
رينو سانديرو ستيب واي 2016,"EGP 370,000"
فررصه A200 luxury 2020 أعلي فئه بانوراما ضمان الوكيل زيرو,"EGP 1,650,000"
سيارة للبيع,"EGP 450,000"
طارة فولكس,EGP 500
فولكس واجن تيجوان اعلى فئة فبريكا,"EGP 790,000"
بسعر مغري C180 AVANTGARDE 2019 سقف بانوراما زيرو بضمان الوكيل,"EGP 1,850,000"
لوجان 2018 فابريكة بالكامل 82000كم,"EGP 290,000"
باسات حالة ممتازة,"EGP 400,000"
e350 2020 amg,"EGP 3,300,000"
ايجار سيارات مرسيدس للسياحه Al-attar Rent Car,"EGP 3,000"
كبوت كروس الاند 2021,"EGP 6,500"
proton Gen 2,"EGP 200,000"
نيسان صني موديل 2021 الفئه التانيه,"EGP 375,000"
هيونداي ماتريكس 2010 اتوماتيك فبريكااااا,"EGP 282,000"
جاك اس 2 2017 فبريكا بره وجوه Jac S2,"EGP 275,000"
E180 exclusive,"EGP 2,050,000"
باب للبيع,"EGP 3,000"
شانجان ايدو ٢٠٢٢ كالزيرو l2,"EGP 330,000"
hyundai,"EGP 285,000"
508 peugeot allure 2022,"EGP 345,000"
Hyndai Ix35 2016 Plus الفئة الثالثه فبريكة بالكامل,"EGP 670,000"
تيبو الفئة الاولي للبيع ٢٠٢٢,"EGP 625,000"
fiat tipo hatchback,"EGP 720,000"
رينو لوجان,"EGP 195,000"
BMW 520 e28 2000cc 1983,"EGP 99,000"
range rover evoque 2023,"EGP 2,850,000"
كيا سبورتاج,"EGP 968,000"
عرض فانوس خلفي شمال. اصلي خارج توكيل به خدش رفيع,"EGP 1,200"
هيونداي النترا,"EGP 378,000"
لاصحاب هواه الحالات النادرة مرسيدس B200 موديل 2013 استخدام بيتي,"EGP 615,000"
من الكموني للسيارات _ اوبل كروس لاند الجديدة ٢٠٢٣ بأقل مقدم 157500,"EGP 157,500"
wanted مطلوب ++ dodge charger 2016,"EGP 3,000"
نيسان صني الفئة الثانية,"EGP 410,000"
ميتسوبيشي لانسر بوما ٢٠٠٨ سوبر اكشن اعلي فئة,"EGP 240,000"
اكصدام امامي رينو ميجان ٢٠٢٠ مستعمل,"EGP 2,200"
ميجان العبور,"EGP 455,000"
ايجار سياره حديثه,EGP 600
اعلى فئة كوبيه الفتيس الجديد ٦ غيار شيفتات طارة,"EGP 290,000"
عربيه ١٢٨ متعدله بالكامل,"EGP 40,000"
رينو لوجان,"EGP 185,000"
قطع غيار نيسان صني,"EGP 4,000"
قطع غيار رينو سانديرو 2015 للبيع,"EGP 3,000"
كولر فتيس,"EGP 1,000"
تيجو 3 كسر زيرو,"EGP 487,000"
‎جيتا كامله اعلي فئه جميع الصيانات فبريكا,"EGP 362,000"
فوانيس الينترا,"EGP 6,500"
مراية الينترا شمال  md من 2012.2015,EGP 400
فانوس أمامى يمين أصلى بيجو 301,"EGP 2,000"
٤٠٦ بيجو موديل ٢٠٠٣,"EGP 160,000"
من الكموني للسيارات _ اوبل كورسا الجديدة ٢٠٢٣ بأقل مقدم٢٢٠،٠٠٠,"EGP 220,000"
ان ٣٠٠ للايجار  ٢٠٢١,"EGP 9,000"
من الكموني للسيارات _ شيري اريزو ٢٠٢٣ بأقل مقدم ١١٢،٥٠٠,"EGP 112,500"
من الكموني للسيارات _ اوبل موكا الجديدة ٢٠٢٣ باقل مقدم ٢٨٠،٠٠٠,"EGP 280,000"
TESLA MODEL Y Electric Car 2022,"EGP 675,000"
mercedes gls580,"EGP 6,250,000"
volkswagen ID. 3 pure,"EGP 310,000"
سياره فاو x40 للبيع 2019,"EGP 385,000"
مشط اكسنت 1300ccاستيراد مركبتوش,EGP 250
النترا جمل ٢٠١١ اتوماتيك,"EGP 290,000"
شيفروليه 2015,"EGP 235,000"
ID4  pure plus X  SUV NEW,"EGP 475,000"
لانسر شارك,"EGP 365,000"
BMW 218i . Sport Edethion,"EGP 570,000"
كيا بيكانتو,"EGP 365,000"
Mercedes GLS 580 2022,"EGP 2,500,000"
فيات 132 موديل 75 الماني مغيره موتور استيراد 2000cc,"EGP 30,000"
اوبل انسيجنيا,"EGP 790,000"
Volkswagen Polo 2001 manual,"EGP 145,000"
EQS 450+ SUV only one in Egypt,"EGP 780,000"
سياره للبيع,"EGP 635,000"
سوزوكي تمنايه,"EGP 240,000"
باب يمين امامي وخلفي فاضي,EGP 100
مرسيدس c180 جميع الكماليات,"EGP 850,000"
ايجار كيا سيراتو كامله اتوماتك 2011,"EGP 7,500"
سياره للبيع,"EGP 75,000"
سياره هيونداي بايون فابريكة برة وجوة وجاهزة للمعاينة والفحص,"EGP 680,000"
النترا اتش دي اعلي فئة زيرو- 2023 ELANTRA HD ZEROOO,"EGP 620,000"
سياره للبيع للتواصل ٠١٠٩٠٣٧٧٦٧٨ / ٠١٠٠٨٩٨٩٥٠٦,"EGP 190,000"
جلوري 2021 كسر زيرو,"EGP 354,000"
كيا سيراتو جولد كامله اوتوماتيك بحالة الفبريكا,"EGP 275,000"
كيا سبورتاج,"EGP 1,028,000"
E46 318i convertible for sale,"EGP 360,000"
2022 Audi Q7 S Line Fully loaded like brand new,"EGP 3,100,000"
هيوانداى ad  فابريكه  جوه وبره,"EGP 540,000"
مراية الينترا md يمين كهرباء وليست ضم كوري  من موديل 2012 حتى 2015,EGP 800
سياره اسكودا فليشيا كومبي للبيع موديل ١٩٩٦,"EGP 70,000"
بوابه بولو ٩٩,EGP 350
ماروتى,"EGP 88,000"
مرسيدس c18 AMG زيررروو فابريكه,"EGP 1,420,000"
هيونداي اكسيل اوتوماتيك,"EGP 90,000"
هيونداي اكسيل اوتوماتيك,"EGP 90,000"
للبيع لعدم الحاجه,"EGP 12,000"
Mg6 Luxury 2022,"EGP 620,000"
كيا سبورتاج Top line plus اعلي فئة بمقدم ١٩٦٠٠٠,"EGP 980,000"
كرسيين فرنا بحالة ممتازة,"EGP 1,800"
نيسان قشقاى موديل ٢٠١٤ اعل فئة فابريكا بالكامل,"EGP 425,000"
نيو اوبترا ٢٠٢١ أعلا فئه شاشه وكاميرا فابريكة بالكامل,"EGP 410,000"
ريداتير فيرنا,EGP 450
بي واي دي 2020,"EGP 300,000"
subarue,"EGP 510,000"
حامل حديد للنمره الخلفيه للجيب رانجلر,EGP 700
وش سلندر اخرص لانسر بومة 1300 cc,"EGP 2,500"
كيا برايد اتوماتيك  شمعدان .,EGP 100
فيرنا,"EGP 175,000"
سكودا اوكتافيا A7.2015,"EGP 700,000"
كيا سيراتو ٢٠١٠ اعلى فئه مفتاح,"EGP 345,000"
وش غطاء تاكيهات,EGP 650
Car Seat - كرسي اطفال للسيارة (كار سيت),"EGP 3,500"
suzuki maruti,"EGP 75,000"
هيونداي 2016,"EGP 315,000"
طاسات اسبور,EGP 450
Seat ibiza 2021,"EGP 610,000"
طقم مساعد أمامي سبورتاج ٢٠١٥ أستيراد أصلي بحاله ممتازه,"EGP 1,500"
bmw 118i model 2021,"EGP 960,000"
لانسر شارك فابريكا بالكامل,"EGP 575,000"
جيلي باندا 2012,"EGP 172,000"
حساس تي بي اس يباني اصلي,EGP 650
لانسر بومه ٢٠٠٧اتوتماتيك ٢٠٠٠سى سى خليجى,"EGP 24,000"
Bmw 320i 2010,"EGP 470,000"
بمقدم ٦٥٠٠٠ شيري أريزو 5 cherry Arizo موديل ٢٠٢٠ فابريكة,"EGP 65,000"
Toyota Corolla 2019,"EGP 680,000"
لانسر بوما ٢٠٠٦ فريكا,"EGP 245,000"
سيتروين C5.2020 شاين فبريكة بالكامل,"EGP 880,000"
"BMW X6 2019 Only 20,000 KM","EGP 3,700,000"
ماهيندرا,"EGP 160,000"
عربية دايهستو 2014,"EGP 200,000"
Toyota Fortuner  Sport 2023,"EGP 2,475,000"
سكودا اوكتافيا موديل 2020,"EGP 930,000"
هونداي كريتا,"EGP 730,000"
صاج شيفورليه سبارك,"EGP 5,000"
مرسيدس بنز اي 200,"EGP 2,450,000"
تويوتا كورولا,"EGP 700,000"
الاصدقاء لتجارة السيارات وقطع غيار التويوتا الفيجو والفورشنر والريفو,"EGP 5,000"
اوبل فيكترا cتاني مالك,"EGP 235,000"
سبورت لاين بانوراما. فابربكا,"EGP 650,000"
طمبورة جولف بورا 2000,EGP 500
508 2020 allure,"EGP 775,000"
ستروين C5     الفئة التانية.  Feel. زيرو 1600cc. Turbo,"EGP 1,300,000"
نيسان صني 2018 nissan sunny 2018,"EGP 320,000"
نيسان قشقاي فابريكا بالكامل من الخارج و الداخل اعلى فئه توب لاين,"EGP 450,000"
أكتافيا فبريكا داخل راشه حزام بره بدون حوادث حاله شاذة,"EGP 210,000"
هيونداى فيرنا مانوال موديل ٢٠١٢ لون فرانى فابريكة بالكامل عداد ٣٩ الف,"EGP 250,000"
E300 Mercedes Designo Package,"EGP 3,500,000"
Vellar   SE        wakeel,"EGP 3,300,000"
ماتريكس للبيع,"EGP 135,000"
ريدياتير نيسانN17,"EGP 2,500"
اكسنت RB 2021 عداد 37000 ك. م فابريكا بالكامل,"EGP 450,000"
عداد كورولا ٢٠٠٢ ل ٢٠٠٧ و معاه العوامة بتاعته,"EGP 1,300"
دايو لانوس ٢٠٠٧,"EGP 160,000"
opel astra h,"EGP 220,000"
سياره هيونداي فيرنا اتوماتيك فبريكه بحاله جيده,"EGP 176,000"
Range Rover Sport p300 MTI wakeel 2020,"EGP 4,300,000"
نيسان جوك للبيع,"EGP 745,000"
رايو 2012 هاي لاين عداد 115 الف صيانات منتظمه,"EGP 335,000"
128 موديل 1998 للبدل أو للبيع رخصة حتى 2026,"EGP 30,000"
Mercedes-Benz GLE 450 2022 بمقدم يبدا من 1000000,"EGP 1,000,000"
شيري اريزو 5 موديل 2022 بمقدم 110000,"EGP 365,000"
كيا سول,"EGP 350,000"
للبيع MG RX5 luxury,"EGP 650,000"
بيجو 405 فبريكة 2007,"EGP 80,000"
مطلوب عدد 2 سيارة فان بدون سائق للعمل بكبرى الشركات بالعين السخنه,"EGP 6,000"
مرايات كيا سيراتو 2010 كهرباء وليس ضم,"EGP 2,000"
للبيع اسكودا فلشيا ٩٦,"EGP 63,000"
كوبلن داخلي و خارجي جديد اسبيرانزا A516,EGP 540
مرسيدس c200 كوبيه فابريكه دواخل بالكامل,"EGP 370,000"
لانسر شارك  ٢٠١٥,"EGP 395,000"
توسان ٢٠٢٠,"EGP 950,000"
جيب رينجيد  ٢٠١٦,"EGP 730,000"
ميجان 2021,"EGP 590,000"
هيونداي النترا HD,"EGP 445,000"
موبينه كهرباء أصلية ماكينه فيرنا ١٦٠٠,EGP 650
سوزوكي بالينو ٢٠٢٢| Suzuki Baleno 2022,"EGP 525,000"
بيجو 508 فابريقة,"EGP 650,000"
مراية فيرنا,EGP 500
بيع بيكانتو2015,"EGP 360,000"
بيجو 301 توب لاين حزام دهان ماعدا السقف,"EGP 310,000"
كيا سيراتو 2015,"EGP 450,000"
العربية بحالة نادرة لهواة كسر الزيرو عداد ١٨٠٠٠ كم شرعي,"EGP 400,000"
طقم قواعد موتور و جيربوكس. كورولا ٢٠١٢ خليجى استيراد يابانى اصلى,"EGP 6,500"
Mercedes cla urban (highest  category ),"EGP 1,300,000"
عربية بيجو 405 للبيع,"EGP 75,000"
هافال للبيع بطب,"EGP 750,000"
هاي اس 2022,"EGP 1,700"
الفئة التانية اتومتيك  فابريكة بالكامل  حالة ممتازة,"EGP 253,000"
لايجار كوستر باص 21 باص  بارخص سعر في مصر,EGP 400
شاهين موديل ٢٠٠١,"EGP 65,000"
كيا سبورتاج  استلام فوري 2023,"EGP 300,000"
هيونداي توسان  Hyundai Tucson,"EGP 1,020,000"
هيونداي ix35   Hyundai,"EGP 670,000"
النتر MD,"EGP 375,000"
جيب رنيجيد,"EGP 630,000"
بي ام دبليو f10 523 فبريكا استخدام راقي,"EGP 770,000"
"Megane 2023 highest line with headup display, electric massage seat","EGP 1,000,000"
"BMW 218i like new 11,000 km","EGP 1,400,000"
Jeep Grand cherokee limited M2022 Zero,"EGP 3,150,000"
Range Rover velar SE p250 M2022,"EGP 3,850,000"
Mercedes-Benz E200 AMG fully loaded M2022,"EGP 4,000,000"
Mercedes-Benz A35 AMG M2022,"EGP 2,650,000"
mercedes C180 2017 Cabriolet,"EGP 1,775,000"
هيونداي i10,"EGP 170,000"
Mercedes Benz - C 180 AVENGARD - 2023,"EGP 2,750,000"
*سكودا A5 خليجي,"EGP 310,000"
"رانج روفر سبورت 2020
40.000km","EGP 4,000,000"
فورد كا موديل 2009 بحاله الزيرو 50 الف كيلو,"EGP 250,000"
لانسر يومه بحاله ممتازه للبيع,"EGP 230,000"
نيسان صني n17. . . موديل 2015  للبيع كاش او تقسيط,"EGP 230,000"
سياره نيسان صني ٢٠٢٢,"EGP 450,000"
فوانيس جولف 7,"EGP 8,000"
اقصدام خلفي Mg 6,"EGP 3,000"
هيونداي ماتريكس موديل ٢٠١١ للبيع حاله ممتازه عداد ١٦٧ الف كيلو,"EGP 315,000"
للأفراد و الشركات مدد قصيرة و طويلة بالسائق او بدون For rent,EGP 500
ميكروباص رحلات اسكندريه,"EGP 265,000"
عربيه 127للبيع,"EGP 18,000"
كيا سيراتو توب لاين فبريكه بالكامل,"EGP 545,000"
تيوتا فورتشنر,"EGP 3,000,000"
الينترا ad 2019,"EGP 475,000"
"Jeep KK 2013 Full Fabric 155,000 KM in excellent condition","EGP 720,000"
اكس 3 فبريكه بالكامل ثاني يد من الزيرو,"EGP 530,000"
هيونداي جيتز,"EGP 250,000"
mercedes GLC 200 2023 zero,"EGP 3,900,000"
كيا شوما ٩٩ للبيع,"EGP 110,000"
Mini Cooper S 2008 R56,"EGP 350,000"
كيا أكسيد,"EGP 950,000"
معرض للبيع,"EGP 110,000"
MG 6 Luxury Black interior 2022,"EGP 750,000"
جنوط السيارة,"EGP 10,000"
c200 coupe Amg 4 matic model 2020 only 44000 km zero condition,"EGP 2,050,000"
Skoda Kodiaq 2021,"EGP 1,450,000"
سيارة Byd موديل 2018 بحاله الزيرو,"EGP 225,000"
سيارة نيفا,"EGP 42,000"
نيسان قشقاى موديل 2018 توب لاين اعلي فئة Spor حالة ممتازة حرفياً,"EGP 630,000"
ام جي 5 موديل 2021 اعلى فئه بصمه عداد 60 الف رخصه سنه العاشر,"EGP 450,000"
Grand Cherokee 2018,"EGP 1,980,000"
ام جي 5 أعلى فئة 4000 كم,"EGP 595,000"
Ford Focus 2021,"EGP 680,000"
فوكاس,"EGP 540,000"
BMW 525i,"EGP 600,000"
مطلوب سياره سوزكي فان للايجار,"EGP 5,000"
بروتون Gen2 اوتوماتيك 2008,"EGP 220,000"
نيسان قشقاي اغلي فئه بصمه وبانوراما,"EGP 375,000"
شيفروليه Equenox/ شيفروليه اكينوكس,"EGP 750,000"
مطلوب سياره اوتوماتيك فابريكا في رنج 160 الف من مالك,"EGP 170,000"
كيا سبورتاج 2021-Kia Sportage 2021,"EGP 1,150,000"
طقم فوانيس امامية عادية Bmw 116i 2008,"EGP 4,000"
سياره للببع MG RX5 اعلي فئه,"EGP 620,000"
سياره شيفروليه كروز ٢٠١٠ للإيجار اليومى مده لا تقل عن ثلاثة ايام,EGP 500
كيا سول خليجي,"EGP 450,000"
تيوتا موصفات خصه,"EGP 340,000"
للبيع فانوسين امامي هوندا سيفيك ٢٠١٧,"EGP 12,000"
ام جي 5 زيروووو بحاله المصنع,"EGP 555,000"
مرايا رينو فلوانس,"EGP 2,400"
سياره E250 AMG للبيع,"EGP 1,550,000"
صفايات مياه كيا سبورتاج 2015,EGP 500
لانسر,"EGP 220,000"
كورولا 2021 عداد 18 الف فقط الفئة التانية,"EGP 750,000"
سوزوكي سياز 2022 كسر زيرو 5000 Km كاملة اعلي فئه,"EGP 545,000"
نيسان سنترا اعلي فئه بصمه فابريكه,"EGP 355,000"
سياره بيجو للبيع 3008 م 2016كامله بانوراما,"EGP 435,000"
الوحيده ف مصر سانديرو ٢٠١٢اوتوماتيك عشره الاف كم فقط بدون خربوش,"EGP 340,000"
Lamborghini Urus,"EGP 6,400,000"
glc200 2022,"EGP 3,500,000"
نيسان صني ٢٠٢٠,"EGP 8,500"
باب سياره رينو ٢٠١٦ اصلي خلف سائق .,"EGP 5,000"
نيسان صني 2021,"EGP 415,000"
كباس تكييف,"EGP 3,000"
كانتري مان اس اعلي ف. م. 2013 140الف كم فابريكا فق 565 الف جم1600تيربو,"EGP 565,000"
كاشكاي 2022,"EGP 975,000"
تويوتا يارس 2015 كسر زيرو,"EGP 470,000"
فبريكه بره وجوه مرور النزهه بحالتها,"EGP 259,000"
مازدا3 فابريكه بالكامل ثاني فئه بصمه اول مالك من الزيرو,"EGP 465,000"
Nissan sunny for sale,"EGP 285,000"
hyundai getz,"EGP 260,000"
زوتي تي 600 للبيع,"EGP 480,000"
شفروليه ٢٠١٨للبيع,"EGP 210,000"
بيچو 3008 موديل 2021 عداد ١٧ الف كسر زيرو,"EGP 1,150,000"
ماذدا 2 2011 وارد الامارات,"EGP 200,000"
سيات . . ليون . . 2020 1600 cc ( قسط عربيتك من البقري موتورز ),"EGP 850,000"
مرسيدس بنز ٢٣٠ كاملة اوتوماتك بحالة جيدة,"EGP 59,000"
Mercedes Benz -  GLC 200 - 2022,"EGP 3,600,000"
TOYOTA COROLLA - Category III  2023,"EGP 1,060,000"
ميني باص سياحي 28 / 33 راكب للايجار,"EGP 1,500"
Ngk  طقم بوجيهات   Honda Civic 2007 : 2011,"EGP 1,600"
كاريكوت أطفال للسياره لم يستخدم,EGP 900
فوانيس e90 حالة ممتازة,"EGP 3,500"
سيات . . توليدو . . 2019 ( قسط عربيتك من البقري موتورز ),"EGP 585,000"
sirion 2008,"EGP 310,000"
النترا 2020 كسر زيرو فبريكا بره وجوه بدون جرام بوهيا,"EGP 570,000"
مطلوب سيارتين سوزوكي فان للأيجار,"EGP 4,000"
دسك واصتوانه وفولام استراد الحاله شزه,"EGP 1,500"
صانى ٢٠١٧,"EGP 325,000"
verna 2013,"EGP 200,000"
lamborghini aurs,"EGP 6,400,000"
شيفروليه جامبو 5200 حصريآ لدي آل عثمان بمقدم 200الف 2023 استلام فوري,"EGP 200,000"
Passant brand new,"EGP 600,000"
مطلوب شراء سيارة افيو بحالة ممتازة جدا بدون اى توكيلات,"EGP 3,000"
هيونداي النترا 2008,"EGP 310,000"
النترا . . CN7  2022 . .  ( قسط عربيتك من البقري موتورز ),"EGP 765,000"
BMW 320i Model 2023,"EGP 2,350,000"
لانسر شارك ٢٠١٥ اعلى فئه مفتاح,"EGP 425,000"
جاك جي اس ٤ ابيض سقف اسود,"EGP 570,000"
skoda superb ambition,"EGP 1,270,000"
JMC دبابة 2023 بالتقسيط بمقدم 70الف وافضل انظمة تقسيط واقل سعر للكاش,"EGP 70,000"
رينو لوجان ٢٠١٩ . تاني فئه ر,"EGP 325,000"
فيات . . بونتو . . 2017 ( قسط عربيتك من البقري موتورز ),"EGP 400,000"
لانسر 2015 اعلى فئه فابريكا بالكامل,"EGP 458,000"
للايجار,"EGP 1,500"
سيراتو ٢٠١٠ كامله بصمه,"EGP 390,000"
Jetta 2010 بحالة الزيروووو,"EGP 450,000"
opel astra enjoy plus  بحالة الزيروووو,"EGP 485,000"
سيارة,"EGP 200,000"
Chevrolet Silverado,"EGP 960,000"
فتيس فيرنا,"EGP 2,500"
قطع غيار بيجو ٣٠٥,"EGP 2,500"
سيارة 127 لسرعة البيع,"EGP 20,000"
نيسان صاني سوبر صالون موديل 2023 زيرو    رخصت و لم تستعمل فقط 2000 كم,"EGP 485,000"
فورد فوكاس 2014 هاي لاين  فتحه سقف بحاله الفابريكه,"EGP 395,000"
Mazda 3 2014 - مازدا ٣ هاي لاين ٢٠١٤ جنوط سبور,"EGP 400,000"
دبابه ثلاجه شيفورليه,"EGP 240,000"
سيارة تويوتا ياريس بحالة ممتازة,"EGP 410,000"
mercedes GLE63 - مرسيدس,"EGP 3,040,000"
تويوتا 2021 الرياضية اعلى فئة يارس كالجديدة مميزة,"EGP 630,000"
للبيع جيتا فبريكه بالكامل,"EGP 355,000"
Mercedes-Benz GLA 200 2022 بمقدم يبدا من 500000,"EGP 500,000"
c 180 2018,"EGP 1,550,000"
mercedes gle63,"EGP 3,040,000"
porsche carrera 911,"EGP 2,300,000"
BMW 430  M SPORT,"EGP 500,000"
cruze 2010فابريكه بالكامل,"EGP 295,000"
تويوتا كورولا موديل 2021 تاني فئه كسر زيرو حاله ممتازه جدا,"EGP 785,000"
Porsche Boxster 718 GTS,"EGP 1,460,000"
2019 Toyota corolla-تيوتا كورولا2019,"EGP 635,000"
افيو 2008 فابريكة بالكامل بره وجوه ماعدا رفرف كاوتش جديد,"EGP 160,000"
كيا جراند سيراتو 2020 هاي لاين,"EGP 655,000"
نوبيرا اتوماتيك ٢٠٠٥ بحاله ممتازه ٠١٠٦٥٣٥١٤٢٤,"EGP 150,000"
Porsche Taycan,"EGP 3,400,000"
كيا سيراتو ٢٠٢٢,"EGP 675,000"
تويوتا كورولا 2011,"EGP 350,000"
نيسان صني موديل 2005 ياباني فابريكه,"EGP 200,000"
bmw 318 2017,"EGP 800,000"
opel astra 2014,"EGP 350,000"
سانج يونج فبريكه برا وجوه,"EGP 550,000"
توب لاين انسجنيا,"EGP 670,000"
MG 5 للبيع ٢٠٢١ اعلي فئة,"EGP 440,000"
jeep grand cherooke 2022,"EGP 2,650,000"
كيا سبورتاج فبريكا بدون دهان   نقداوبالتقسيط متاح البدل,"EGP 400,000"
قطع غيار لانوس بسبب بيع العربية,EGP 300
Citroen c3 1.4 HDI perfect Condition 100%,"EGP 155,000"
مفتاح اصلي فورد كوجا ٢٠١٥,"EGP 1,000"
فانوس امامي باندا شمال,EGP 700
سيارة للبيع,"EGP 145,000"
باسات هاي لاين ٢٠١٢ فبريكا بالكامل,"EGP 650,000"
ماتريكس ٢٠١٠ فابريكه,"EGP 325,000"
نيسان سنترا ٢٠٢١ للبيع Nissan sentra 2021,"EGP 490,000"
Kia Rio for sale  كيا ريو للبيع,"EGP 387,000"
لانوس موديل ٢٠١٤ بحالة ممتازة عداد ١١٧ الف كيلو فقط,"EGP 160,000"
لوجان,"EGP 225,000"
Electric Car  with remote control and music,"EGP 5,000"
c180 Model 2015 Exc,"EGP 1,350,000"
فورد فوكس راشه كلها خارجى,"EGP 205,000"
رينو داستر فابريقه بالكامل اعلي فئه,"EGP 475,000"
عدد ٢ مرايه دايو لانوس يمين,EGP 350
اعلى فئه فبريقه بالكامل بدون خربوش صيانات توكيل,"EGP 890,000"
ام جي5 اعلى فئة,"EGP 530,000"
بيجو ٥٠٨ gtmaix 2022 فابريكه,"EGP 1,250,000"
سياره فكتوريا للبيع 2017,"EGP 170,000"
Mercedes  c 180 وارد المانيا معاقين مرسيدس 2009,"EGP 600,000"
Turbo Blanket - Funk Motorsport,"EGP 4,000"
MG 5 standard 2022,"EGP 440,000"
اسبويلر لانسر شارك,EGP 500
"Jeep kk 2013 LX all fabric, 145 km","EGP 675,000"
porsche macan,"EGP 1,260,000"
سوزوكي نقل 2019 بصندوق كولمن,"EGP 195,000"
Mercedes Benz (Sprinter Van ),"EGP 1,000"
قطع غيار نقل ثقيل,"EGP 30,000"
Brake pads front and rear   تيل فرامل أمامى & خلفى  باسات,EGP 100
X5 perfect condition,"EGP 720,000"
عربية ميتسوبيشي لانسر بطة ٩٢ بحالة جيدة جدا,"EGP 70,000"
استثمر عربيتك بأحسن عائد شهري,"EGP 180,000"
كيا سبورتاج,"EGP 820,000"
سوزوكي سيلاريون  ٢٠٢٢ بحاله المصنع,"EGP 380,000"
الينترا  MD  2012 فابريكا بالكامل ماعدا الاكصدامين خليجي الفئة الاولى,"EGP 370,000"
Elantra CN7 2021,"EGP 780,000"
نيسان صني ٢٠١٤,"EGP 255,000"
Aston Martin DBX,"EGP 9,700,000"
كيا شوما  فابريكة بالكامل من الداخل رشة حزام نظافة,"EGP 147,000"
Jetta 2007,"EGP 370,000"
كراسي سباركو كسر الزيرو,"EGP 4,000"
bmwx6,"EGP 1,050,000"
شيفورليه افيو 2017,"EGP 255,000"
صنى٢٠١٧ من المالك مباشره,"EGP 235,000"
فولفو 1978 من المالك من الزيرو volvo,"EGP 55,000"
OPEL MOKKA استلم الان وادفع اول قسط بعد شهرين عرض لفترة محدودة,"EGP 279,000"
ultimate speed car battery charger,"EGP 1,000"
BMW 320i Luxury,"EGP 1,100,000"
للبيع سكودا اوكتافيا A4  فابريكه بالكامل من الداخل والخارج,"EGP 275,000"
صالون مرسيدس ٢٠٣ سي ١٨٠ او ٢٠٠ او٢٤٠,"EGP 11,000"
MG HS,"EGP 840,000"
٤ جنوط  مقاس ١٤ بالطاسات الاصليين بتاعهم,"EGP 3,000"
مطلوب على وجه السرعة سيارات ملاكى بدون سائق  بكبرى شركات بالعين السخنه,"EGP 12,000"
عربية زيروووو ٩٥٠ كيلو سمارت,"EGP 600,000"
لدواعى السفر,"EGP 3,965,445"
سيارة للبيع موديل ٢٠١٨,"EGP 400,000"
Audi A3 sline zero 2022,"EGP 1,630,000"
golf 8 r line zero 2022,"EGP 1,700,000"
اكسنت ار بي موديل ٢٠١٦,"EGP 340,000"
عندى سياره هيونداى اكسنت بالسائق موديل ٢٠٢٢ للايجار.  01095554820,EGP 500
جنط فردة واحدة للبيع R18. يصلح ل f10-f30-G30,"EGP 3,000"
ميتسوبيشي لانسر شارك ممتازه,"EGP 355,000"
عربيه هامر H3,"EGP 750,000"
هيونداي ماتريكس 2005 كامله اتوماتيك بحاله الزيرو,"EGP 298,000"
Mercedes-Benz C200 2022/2023 بمقدم يبدا من 500000,"EGP 500,000"
هيونداي النترا 2012 ثاني فئه خليجي بحاله الزيرو,"EGP 465,000"
Mercedes E200 AMG,"EGP 3,700,000"
فانوس أوريجنال أنسجنيا شمال,"EGP 9,000"
OPEL MOKKAاوبل موكا استلم الان بدون مصاريف اداريه,"EGP 255,000"
متوفر علب فيوزات كمبيوترات تكييف تويوتا كورولا 2020,EGP 100
شيفروليه كروز موديل ٢٠١٦ أوتوماتيك حالة فوق الممتااااااازة جدآ جدآ فضى,"EGP 330,000"
Mercedes-Benz CLA 200 بمقدم يبدا من 500000,"EGP 500,000"
فانوس خلفى رفرف شمال,"EGP 2,800"
طقم فوانيس خلفي انيسان صني N17 استعمال.,"EGP 1,199"
لانسر شارك 2015,"EGP 400,000"
suzuki baleno-سوزوكي بالينو خليجي,"EGP 98,000"
تويوتا كورولا 2015 خليجي,"EGP 510,000"
كوبلن داخلى طويل مستورد - دايو نوبيرا 2,EGP 600
car seat junior,"EGP 1,000"
رينو داستر daster,"EGP 465,000"
مرسيدس بنز 200 بسم الله مشاء الله,"EGP 185,000"
سياره فولكس,"EGP 45,000"
فبريكابره وجوه بحالةالزيرو2007,"EGP 58,000"
النترا,"EGP 375,000"
Mercedes Benz C180 Avntgarde plus,"EGP 1,700,000"
ماتوربفتيس باجيرو,"EGP 55,000"
جولف بونتير 2004,"EGP 75,000"
فوانيس بحاله الزيرو,"EGP 3,750"
عداد 7الاف فوانيس ليد,"EGP 575,000"
MINI Cooper S R56 2008,"EGP 370,000"
تيفولى ٢٠١٩ فابريكه,"EGP 520,000"
BMW 850,"EGP 5,200,000"
اكصدام خلفي وفبرة تبلوة تيجو 7 2022,"EGP 1,000"
نيسان صني كسر زيرو,"EGP 425,000"
E30 للبيع,"EGP 150,000"
Range rover sport p400 وكيل,"EGP 4,200,000"
سياره مرسيدس موديل1982,"EGP 100,000"
Toyota RAV4 2008 3.5L,"EGP 635,000"
